fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, facility_id, postcode, facilityage, streettype, changerooms, longitude, latitude, faciltysportplayedid, objectid, suburbtown, lga, streetname
null,null,"Tennis (Indoor)","Hampton Tennis Club",4,"4. Good",null,"BAYSID5408",null,"26 - 50 Years",null,null,144.999100000516,-37.9344999989255,27659,889,null,"BAYSIDE",null
"Artificial Turf",null,"Tennis (Outdoor)","Banksia Reserve",3,null,null,"BAYSID12384",3193,null,"Parade",null,145.042191000396,-37.986545999137,20482,890,"BEAUMARIS","BAYSIDE","Tramway"
"Hard Court",null,"Tennis (Outdoor)","Banksia Reserve",10,null,null,"BAYSID12384",3193,null,"Parade",null,145.042191000396,-37.986545999137,20481,891,"BEAUMARIS","BAYSIDE","Tramway"
"Hard Court",null,"Tennis (Outdoor)","Beaumaris Reserve",7,null,null,"BAYSID12343",3193,null,"Road","Same as above",145.035302000489,-37.9830879986453,20413,892,"BEAUMARIS","BAYSIDE","Dalgetty"
"Clay, Plexipave",null,"Tennis (Outdoor)","Beaumoris Tennis Club",13,null,null,"BAYSID12341",3193,null,"Avenue",null,145.038943999722,-37.9819899990874,20408,893,"BEAUMARIS","BAYSIDE","Cloris"
"Hard Court",null,"Tennis (Outdoor)","Dendy Park",19,null,null,"BAYSID12345",3186,null,"Street",null,145.023220000413,-37.9250919990818,20419,894,"BRIGHTON EAST","BAYSIDE","Dendy"
"Hard Court",null,"Tennis (Outdoor)","Easternwick Park Recreation Oval",4,null,null,"BAYSID12352",3185,null,"Road",null,144.993789999768,-37.884782998689,20435,895,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Artificial Turf",null,"Tennis (Outdoor)","Easternwick Park Recreation Oval",4,null,null,"BAYSID12352",3185,null,"Road",null,144.993789999768,-37.884782998689,20434,896,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Hard Court",null,"Tennis (Outdoor)","F L Yott Reserve",6,null,null,"BAYSID12367",3193,null,"Street",null,145.038711000148,-37.9912309989939,20455,897,"BEAUMARIS","BAYSIDE","Martin"
"Hard Court",null,"Tennis (Outdoor)","F.G. Tricks Reserve",4,null,null,"BAYSID12348",3193,null,"Street",null,145.019608000277,-37.9652079987777,20424,898,"BLACK ROCK","BAYSIDE","Fern"
"Hard Court",null,"Tennis (Outdoor)","Royal Avenue Reserve",14,null,null,"BAYSID12379",3191,null,"Avenue",null,145.014707999963,-37.9591579993191,20474,899,"SANDRINGHAM","BAYSIDE","Royal"
"Artificial Turf",null,"Tennis (Outdoor)","Sandringham Tennis/Croquet Club",5,null,null,"BAYSID12332",3191,null,"Road",null,145.000587000418,-37.9475319988776,20397,900,"SANDRINGHAM","BAYSIDE","Beach"
"Hard Court",null,"Tennis (Outdoor)","St Stevens Tennis Club",3,null,null,"BAYSID12383",3190,null,"Street",null,145.033477000538,-37.9530629988901,20478,901,"HIGHETT","BAYSIDE","Tibrockney"
"Artificial Turf",null,"Tennis (Outdoor)","WL Simpson Reserve",2,null,null,"BAYSID12349",3188,null,"Road",null,145.02093399992,-37.9380189992258,20426,902,"HAMPTON","BAYSIDE","Fewster"
"Grass",null,"Soccer","H.C Kims Reserve",3,"3. Average","11 + Years","HOBSON12960",3018,"26 - 50 Years","Road","Male, Umpire/Officials, Unisex",144.842384000156,-37.8620339991299,21740,4001,"SEAHOLME","HOBSONS BAY","Millers"
"Grass",null,"Soccer","J.T Gray Reserve",7,"2. Poor","N/A","HOBSON12964",3016,"26 - 50 Years","Road","Male, Umpire/Officials",144.863993999685,-37.8561869990711,21749,4002,"WILLIAMSTOWN","HOBSONS BAY","Kororoit"
"Grass",null,"Soccer","Paisley Park Soccer Complex",4,"3. Average","11 + Years","HOBSON12976",3018,"26 - 50 Years","Street","Male, Umpire/Officials",144.857750999565,-37.8420079989558,21774,4003,"ALTONA","HOBSONS BAY","Mason"
"Grass","2/14","Soccer","S.J Clement Reserve",1,null,null,"HOBSON12980",3025,null,"Street",null,144.855098999475,-37.846728998986,21779,4004,"ALTONA NORTH","HOBSONS BAY","Mills"
null,null,"Soccer (Indoor Soccer / Futsal)","Westgate Indoor Sports",null,null,null,"HOBSON12987",3025,null,"Parade",null,144.825246999868,-37.8330559994229,21790,4005,"ALTONA NORTH","HOBSONS BAY","Grieve"
null,null,"Softball","State Baseball Softball Centre (Melbourne Ballpark)",2,null,null,"HOBSON12983",3018,null,"Street",null,144.780041000338,-37.8607299992344,21784,4006,"ALTONA","HOBSONS BAY","Merton"
null,"127","Surf Life Saving","Altona Life Saving Club",null,null,null,"HOBSON11239",3018,null,"Street",null,144.830903000123,-37.870693999116,27206,4007,"ALTONA","HOBSONS BAY","Esplanade"
null,null,"Surf Life Saving","Williamstown Life Saving Club",null,null,null,"HOBSON11251",3016,null,"Esplanade",null,144.889062999607,-37.8674759991545,27207,4008,"WILLIAMSTOWN","HOBSONS BAY","The"
"25m Pool - Indoor, Spa/Sauna","257","Swimming","Bayfit Leisure Centre",null,"5. Very Good","N/A","HOBSON12939",3025,"0 - 5 Years","Street","Female, Male, Umpire/Officials",144.855755000449,-37.8396179989516,21703,4009,"ALTONA NORTH","HOBSONS BAY","Mason"
"25m Pool - Indoor, Spa/Sauna",null,"Swimming","Laverton Swim and Fitness Centre",null,"2. Poor","N/A","HOBSON12969",3028,"26 - 50 Years","Street","Female, Male",144.774533999571,-37.8567289989042,21756,4010,"LAVERTON","HOBSONS BAY","Jennings"
null,"116","Swimming","Sweeney's Swim & Fitness Centre",null,null,null,"HOBSON12984",3018,null,"Street",null,144.831000000298,-37.8654999987555,21786,4011,"ALTONA","HOBSONS BAY","Pier"
null,"230","Ten Pin Bowling","Altona Tenpin Bowling Complex",null,null,null,"HOBSON12937",3025,null,"Road",null,144.861995000505,-37.8322219987996,21700,4012,"ALTONA NORTH","HOBSONS BAY","Blackshaws"
null,null,"Tennis (Indoor)","Westside Indoor Sports",8,null,null,"HOBSON12988",3025,null,"Parade",null,144.825246999868,-37.8330559994229,21792,4013,"ALTONA NORTH","HOBSONS BAY","Grieve"
"Artificial Turf, Hard Court","2","Tennis (Outdoor)","A.B Shaw Reserve",6,"3. Average","N/A","HOBSON12925",3028,"26 - 50 Years","Avenue","Female, Male",144.782029000084,-37.8649029994248,21673,4014,"ALTONA MEADOWS","HOBSONS BAY","Hall"
"Hard Court","252","Tennis (Outdoor)","Altona Green Park",2,"4. Good","N/A","HOBSON12930",3028,"6 - 10 Years","Street","Unisex",144.782078000372,-37.8876539987367,21687,4015,"ALTONA MEADOWS","HOBSONS BAY","Victoria"
"Hard Court",null,"Tennis (Outdoor)","Brooklyn Reserve",4,"4. Good","1 - 5 Years","HOBSON12943",3012,"26 - 50 Years","Avenue",null,144.846135000162,-37.8222119989669,21710,4016,"BROOKLYN","HOBSONS BAY","Cypress"
"Hard Court",null,"Tennis (Outdoor)","Bruce Comben Reserve",4,"1. Very Poor","N/A","HOBSON12944",3028,"26 - 50 Years","Avenue","Male",144.766738000133,-37.8722099990356,21711,4017,"ALTONA MEADOWS","HOBSONS BAY","Central"
"Hard Court","132-140","Tennis (Outdoor)","Commonwealth Reserve",6,"5. Very Good","N/A","HOBSON12946",3016,"11 - 25 Years","Place",null,144.903398000413,-37.8620709993323,21717,4018,"WILLIAMSTOWN","HOBSONS BAY","Nelson"
"Artificial Turf",null,"Tennis (Outdoor)","Dennis Reserve",2,"4. Good","1 - 5 Years","HOBSON12950",3016,"26 - 50 Years","Road",null,144.89502300027,-37.8591339986707,21723,4019,"WILLIAMSTOWN","HOBSONS BAY","Melbourne"
"Concrete",null,"Tennis (Outdoor)","Donald McLean Reserve",2,"4. Good","1 - 5 Years","HOBSON12952",3015,"11 - 25 Years","Avenue",null,144.883923999871,-37.8266259993439,21726,4020,"SPOTSWOOD","HOBSONS BAY","The"
"Clay",null,"Tennis (Outdoor)","J.K Grant Reserve",8,"3. Average","1 - 5 Years","HOBSON12963",3018,"26 - 50 Years","Drive",null,144.826574000207,-37.8621219987049,21744,4021,"ALTONA","HOBSONS BAY","Bluegum"
"Plexipave",null,"Tennis (Outdoor)","J.K Grant Reserve",3,"3. Average","1 - 5 Years","HOBSON12963",3018,"26 - 50 Years","Drive",null,144.826574000207,-37.8621219987049,21743,4022,"ALTONA","HOBSONS BAY","Bluegum"
